ProductByArea,_4Dec23,_5Dec23,_6Dec23,_7Dec23,_8Dec23,_11Dec23,ViewHistory
Crude Oil,,,,,,,
"WTI - Cushing, Oklahoma",72.73,71.95,68.98,69.00,70.87,70.95,1986-2023
Brent - Europe,78.16,77.27,74.33,74.21,75.94,75.75,1987-2023
Conventional Gasoline,,,,,,,
"New York Harbor, Regular",2.315,2.281,2.202,2.181,2.230,2.214,1986-2023
"U.S. Gulf Coast, Regular",2.000,1.966,1.872,1.851,1.920,1.909,1986-2023
RBOB Regular Gasoline,,,,,,,
Los Angeles,2.325,2.261,2.332,2.396,2.480,2.449,2003-2023
No. 2 Heating Oil,,,,,,,
New York Harbor,2.648,2.612,2.538,2.525,2.499,2.522,1986-2023
Ultra-Low-Sulfur No. 2 Diesel Fuel,,,,,,,
New York Harbor,2.783,2.704,2.615,2.603,2.624,2.642,2006-2023
U.S. Gulf Coast,2.371,2.312,2.293,2.280,2.239,2.262,2006-2023
Los Angeles,2.728,2.692,2.583,2.570,2.594,2.617,1996-2023
Kerosene-Type Jet Fuel,,,,,,,
U.S. Gulf Coast,2.401,2.357,2.303,2.290,2.299,2.322,1990-2023
Propane,,,,,,,
"Mont Belvieu, Texas",0.730,0.708,0.685,0.698,0.705,0.680,1992-2023
